ticker,cik,sic,sic_description,status
RGC,0001829667,2833,Medicinal Chemicals & Botanical Products,ok
RGF,,,,cik_not_found
RICE,,,,cik_not_found
RICO,,,,cik_not_found
RITR,0001951229,6510,Real Estate Operators (No Developers) & Lessors,ok
RIVN,0001874178,3711,Motor Vehicles & Passenger Car Bodies,ok
RJAC,,,,cik_not_found
RKT,0001805284,6162,Mortgage Bankers & Loan Correspondents,ok
RLAY,0001812364,2836,"Biological Products, (No Diagnostic Substances)",ok
RLYB,0001739410,2834,Pharmaceutical Preparations,ok
RMBI,0001767837,6022,State Commercial Banks,ok
RMG,,,,cik_not_found
RMGB,,,,cik_not_found
RNA,0002093101,2834,Pharmaceutical Preparations,ok
RNAZ,0001829635,2834,Pharmaceutical Preparations,ok
RNER,,,,cik_not_found
RNLX,,,,cik_not_found
RNXT,0001574094,3841,Surgical & Medical Instruments & Apparatus,ok
ROC,0002077709,7372,Services-Prepackaged Software,ok
ROCC,,,,cik_not_found
ROCG,,,,cik_not_found
ROCH,,,,cik_not_found
ROCL,,,,cik_not_found
ROLR,0001947210,7900,Services-Amusement & Recreation Services,ok
ROMA,0001945240,8742,Services-Management Consulting Services,ok
ROOT,0001788882,6331,"Fire, Marine & Casualty Insurance",ok
ROSE,,,,cik_not_found
RPC,0001841968,6282,Investment Advice,ok
RPID,0001380106,3826,Laboratory Analytical Instruments,ok
RPLA,,,,cik_not_found
RPRX,0001802768,2834,Pharmaceutical Preparations,ok
RPTX,,,,cik_not_found
RR,0001963685,3569,"General Industrial Machinery & Equipment, NEC",ok
RRAC,,,,cik_not_found
RRBI,0001071236,6022,State Commercial Banks,ok
RSKD,0001851112,7389,"Services-Business Services, NEC",ok
RSVA,,,,cik_not_found
RTLR,,,,cik_not_found
RTP,,,,cik_not_found
RTPZ,,,,cik_not_found
RUHN,,,,cik_not_found
RVAC,,,,cik_not_found
RVLV,0001746618,5961,Retail-Catalog & Mail-Order Houses,ok
RVMD,0001628171,2836,"Biological Products, (No Diagnostic Substances)",ok
RVSN,0001743905,3743,Railroad Equipment,ok
RWAY,0001653384,,,no_sic
RWOD,,,,cik_not_found
RXST,0001111485,3851,Ophthalmic Goods,ok
RXT,0001810019,7370,"Services-Computer Programming, Data Processing, Etc.",ok
RYAN,0001849253,6411,"Insurance Agents, Brokers & Service",ok
RYDE,0001971115,7389,"Services-Business Services, NEC",ok
RYZB,,,,cik_not_found
S,0001583708,7372,Services-Prepackaged Software,ok
SAG,,,,cik_not_found
SAGA,,,,cik_not_found
SAII,,,,cik_not_found
SAMA,,,,cik_not_found
SANB,,,,cik_not_found
SANG,0001753368,7370,"Services-Computer Programming, Data Processing, Etc.",ok
SAQN,,,,cik_not_found
SARO,0002025410,3724,Aircraft Engines & Engine Parts,ok
SBE,,,,cik_not_found
SBG,,,,cik_not_found
SBTX,,,,cik_not_found
SBXC,,,,cik_not_found
SBXD,0002015947,6770,Blank Checks,ok
SCMA,,,,cik_not_found
SCNX,0001382574,2834,Pharmaceutical Preparations,ok
SCOA,,,,cik_not_found
SCPE,,,,cik_not_found
SCPL,,,,cik_not_found
SCPS,,,,cik_not_found
SCRM,,,,cik_not_found
SCUA,,,,cik_not_found
SCVX,,,,cik_not_found
SDCCQ,,,,cik_not_found
SDGR,0001490978,2834,Pharmaceutical Preparations,ok
SDHC,0001982518,1531,Operative Builders,ok
SDIG,,,,cik_not_found
SDOT,0001701756,5810,Retail-Eating & Drinking Places,ok
SEAH,0002075786,5090,Wholesale-Misc Durable Goods,ok
SEDA,,,,cik_not_found
SEER,0001726445,3826,Laboratory Analytical Instruments,ok
SEPA,,,,cik_not_found
SEPN,0001984086,2834,Pharmaceutical Preparations,ok
SERA,0001534969,8071,Services-Medical Laboratories,ok
SEVCF,,,,cik_not_found
SFHG,0001926792,2750,Commercial Printing,ok
SFTW,,,,cik_not_found
SFWL,0001863218,4210,Trucking & Courier Services (No Air),ok
SG,0001477815,5812,Retail-Eating  Places,ok
SGAM,,,,cik_not_found
SGE,,,,cik_not_found
SGHL,,,,cik_not_found
SGHT,0001531177,3841,Surgical & Medical Instruments & Apparatus,ok
SGII,,,,cik_not_found
SGMT,0001400118,2834,Pharmaceutical Preparations,ok
SGN,,,,cik_not_found
SGTX,,,,cik_not_found
SHAP,,,,cik_not_found
SHC,0001822479,8090,"Services-Misc Health & Allied Services, NEC",ok
SHCA,,,,cik_not_found
SHCO,,,,cik_not_found
SHIM,0001887944,1600,Heavy Construction Other Than Bldg Const - Contractors,ok
SHLL,,,,cik_not_found
SHPH,0001757499,2834,Pharmaceutical Preparations,ok
